LBP,,,,,,,,,,,,,,,,,,,,
LBP_product_id,LBP_code,LBP_family,LBP_description,LOB,Folder Tier 1,,,,,,,,,,,,,,,
20008,careerPageActivationPremiumPkg,CAREERPAGEACTIVATIONPKG,Career Page contract activation and premium service creation package,LTS,Career Pages,,,,,,,,,,,,,,,
20009,careerPageProvisionServiceWrapper,CAREERPAGEPROVISIONPKG,career premium service wrapper for career-contract premium features provision,LTS,Career Pages,,,,,,,,,,,,,,,
20010,careerPageGold,CCP,Gold career page,LTS,Career Pages,,,,,,,,,,,,,,,
20011,careerPageSilver,CCP,Silver career page,LTS,Career Pages,,,,,,,,,,,,,,,
20012,careerPagePlatinum,CCP,Platinum career page,LTS,Career Pages,,,,,,,,,,,,,,,
20013,careerPageScheduleGrant,CAREERPAGEGRANTSCHEDULE,career generic schedule grant,LTS,Career Pages,,,,,,,,,,,,,,,
115001,careerPageSilverPlus,CCP,Career pages - Silver plus,LTS,Career Pages,,,,,,,,,,,,,,,
115002,careerPageGoldPlus,CCP,Career pages - Gold plus,LTS,Career Pages,,,,,,,,,,,,,,,
130001,careerPageImpressions,CCP,Career pages - Ads Impressions,LTS,Career Pages,,,,,,,,,,,,,,,
130002,careerPageVariants,CCP,Career pages - Page variants,LTS,Career Pages,,,,,,,,,,,,,,,
130003,careerPageAnalyticsStandard,CCP,Career pages - Standard Analytics,LTS,Career Pages,,,,,,,,,,,,,,,
130004,careerPageAnalyticsEnhanced,CCP,Career pages - Enhanced Analytics,LTS,Career Pages,,,,,,,,,,,,,,,
130005,careerPageVariantsUnlimited,CCP,Career pages - Unlimited Page Variants,LTS,Career Pages,,,,,,,,,,,,,,,
130006,careerPageSmbStarter,CCP,Career Pages - SMB starter package,LTS,Career Pages,,,,,,,,,,,,,,,
130007,careerPageSmbBasic,CCP,Career Pages - SMB basic package,LTS,Career Pages,,,,,,,,,,,,,,,
130008,careerPageSmbAdvanced,CCP,Career Pages - SMB advanced package,LTS,Career Pages,,,,,,,,,,,,,,,
130009,careerPageSmbPremium,CCP,Career Pages - SMB premium package,LTS,Career Pages,,,,,,,,,,,,,,,
130010,careerPageSmbInternational,CCP,Career Pages - SMB international package,LTS,Career Pages,,,,,,,,,,,,,,,
130011,careerPageEnterpriseBasic,CCP,Career Pages - Enterprise basic package,LTS,Career Pages,,,,,,,,,,,,,,,
130012,careerPageEnterpriseAdvanced,CCP,Career Pages - Enterprise advanced package,LTS,Career Pages,,,,,,,,,,,,,,,
130013,careerPageEnterprisePremium,CCP,Career Pages - Enterprise premium package,LTS,Career Pages,,,,,,,,,,,,,,,
130014,careerPageEnterpriseInternational,CCP,Career Pages - Enterprise international package,LTS,Career Pages,,,,,,,,,,,,,,,
130015,careerPageLargeEnterpriseBasic,CCP,Career Pages - Large Enterprise basic package,LTS,Career Pages,,,,,,,,,,,,,,,
130016,careerPageLargeEnterpriseAdvanced,CCP,Career Pages - Large Enterprise advanced package,LTS,Career Pages,,,,,,,,,,,,,,,
130017,careerPageLargeEnterprisePremium,CCP,Career Pages - Large Enterprise premium package,LTS,Career Pages,,,,,,,,,,,,,,,
130018,careerPageLargeEnterpriseInternational,CCP,Career Pages - Large Enterprise international package,LTS,Career Pages,,,,,,,,,,,,,,,
130019,careerPageMultiNationalStarter,CCP,Career Pages - Multi National starter package,LTS,Career Pages,,,,,,,,,,,,,,,
130020,careerPageMultiNationalBasic,CCP,Career Pages - Multi National basic package,LTS,Career Pages,,,,,,,,,,,,,,,
130021,careerPageMultiNationalAdvanced,CCP,Career Pages - Multi National advanced package,LTS,Career Pages,,,,,,,,,,,,,,,
130022,careerPageMultiNationalPremium,CCP,Career Pages - Multi National premium package,LTS,Career Pages,,,,,,,,,,,,,,,
130023,careerPageStaffingStarter,CCP,Career Pages - Staffing Starter package,LTS,Career Pages,,,,,,,,,,,,,,,
130024,careerPageStaffingBasic,CCP,Career Pages - Staffing Basic package,LTS,Career Pages,,,,,,,,,,,,,,,
130025,careerPageStaffingAdvanced,CCP,Career Pages - Staffing advanced package,LTS,Career Pages,,,,,,,,,,,,,,,
130026,careerPageStaffingPremium,CCP,Career Pages - Staffing premium package,LTS,Career Pages,,,,,,,,,,,,,,,
130027,careerPageStaffingUnlimited,CCP,Career Pages - Staffing unlimited package,LTS,Career Pages,,,,,,,,,,,,,,,
130028,careerPageEmergingMarketSmb,CCP,Career Pages - Emerging Market SMB package,LTS,Career Pages,,,,,,,,,,,,,,,
130029,careerPageEmergingMarketEnterprise,CCP,Career Pages - Emerging Market Enterprise package,LTS,Career Pages,,,,,,,,,,,,,,,
5066202,GeoFencedRecruiter,RECRUITERPKG,Geo-Fenced Recruiter provides a geo limited version of the Recruiter product that aligns with the ordering party's country.,LTS,GeoFenced,,,,,,,,,,,,,,,
5066212,GeoFencedJobs,CAPJOBSLOT,Geo-Fenced Jobs provides a geo limited version of the Jobs product that aligns with the ordering party's country.,LTS,GeoFenced,,,,,,,,,,,,,,,
5066602,GeoFencedRecruiterIndia,RECRUITERPKG,The Geo-Fenced Services purchased under this Order Form are restricted to use within India only.,LTS,GeoFenced,,,,,,,,,,,,,,,
5066612,GeoFencedJobsIndia,CAPJOBSLOT,The Geo-Fenced Services purchased under this Order Form are restricted to use within India only.,LTS,GeoFenced,,,,,,,,,,,,,,,
5066622,GeoFencedRecruiterBrazil,RECRUITERPKG,The Geo-Fenced Services purchased under this Order Form are restricted to use within Brazil only.,LTS,GeoFenced,,,,,,,,,,,,,,,
5066632,GeoRecruiterSMBBrazil,RECRUITERPKG,The Geo-Fenced Services purchased under this Order Form are restricted to use within Brazil only.,LTS,GeoFenced,,,,,,,,,,,,,,,
5069165,GlintPSLed,GlintPS,"Vision and Strategy
 A PSC guides client through a 60-90-minute meeting to discover key company priorities, HR priorities, and culture elements to establish program objectives/goals and inform program design activities across all software elements. This is done on a yearly basis as needed and program objectives are reviewed during Partnership Review meetings.
 Design Support
 A PSC provides clients with recommendations on content and configuration design (questionnaire, cadence, audience, etc.) for up to 3 programs (I.e., Engage, Onboarding, 360, Feedback, etc.) each year depending on the software purchased.
 Insight Reviews
 A PSC provides clients with an org level results presentation highlighting: engagement performance, response rate, comment topics, key drivers, recommended focus areas, and suggested actions. Each year a client will receive two insight-review presentations. Insight Reviews are intended for the executive/leadership team and are primarily slide format using the Glint Platform as a supplement, these presentations may incorporate results from multiple programs/software to show connections between programs (Cross Program Insights) depending on purchased software. Prior to each Insight Review Glint and client will align on research questions to explore and provide a preview of the presentation prior to presenting to the executive team. 
 Analytics Feasibility Study  
 Upon request no more than once a year, the Glint People Science team will meet with the customer in a discovery meeting to determine the plausibility of performing an advanced analytics project such as linkage or custom reporting outside of the Glint platform. If useful insights seem likely, Glint will make a recommendation for such an analytics project that will meet the customer’s needs.
 Partnership Support (GPR)
 Your PSC participates in bi-annual/quarterly reviews of the partnership to confirm/update/modify program objectives and identify ways to improve the overall relationship.",LTS,Glint,,,,,,,,,,,,,,,
5069175,GlintPSPlatinumAdmin,GlintPS,"An assigned CSM will be appointed as customer’s strategic partner and customer advocate responsible for overall program management, platform optimization, best practices, and coaching. Glint-led administration across all products purchased on behalf of the customer. In addition, Assigned Customer Success Manager and Technical Success Manager will lead the implementation, including but not limited to project management, best practices, and configuring products purchased using Glint best practices tailored to customer's needs.",LTS,Glint,,,,,,,,,,,,,,,
